text_id,L1,source,text,n_tokens,proficiency,english_ratio,metadata_json
pelic_136,spanish,pelic,"My mother is the most beautiful person that I know. 
First of all her facial expression is delicate and peaceful and she always is smiling.Her facial shape is oval and she has a big beautiful brown eyes and her mouth has full lipped.In adition, her voice is melodious and she talk slowly and she usually give good advice to other people like my father, me or my sister.I think that she always looks great because she is beautiful and she,also; has a really good feelings about the life and she likes help to other people.",95,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""118"", ""version"": ""1"", ""text_len_nltk"": ""99""}"
pelic_185,spanish,pelic,"About several years ago, Stonehenge could have built for prehistoric people, at that time they may have used strong and big stones. these place could have used many times for religious ceremonies or it could have been a turistic place.Stonehenge might have been an important place to meet people at that time to celebrate some rituals, and finally Stonhenge may have had important treasures there.",65,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""154"", ""version"": ""1"", ""text_len_nltk"": ""66""}"
pelic_324,spanish,pelic,"The town of Decasia, located in Illinois is going down; people that go there, they can see many changes such as the main street is destroyed and the bus service is discontinued.By Febraury 1 thirty six potholes are counted and by June 15 have increased to forty potholes, about bus service it is not working and if people can go there, they may take a taxi that is expensive.In conclusion, downtown of Decasia is going down and people have many problem to go there.",84,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""118"", ""version"": ""1"", ""text_len_nltk"": ""84""}"
pelic_550,spanish,pelic,"The town of Decasia, located in Illinois is going down, there are many changes such as main street is destroyed, bus service has many problems and some stores are closed. First of all, by Febraury 1 on main street thirty six potholes were counted and in June 15 increased to forty potholes.Second,the public transportation is not working because bus service was discontinued and for this reason if people want to go to downtown, they should take a taxi.Finally, business and art are totally different because many stores moved to another place like Town Mall shopping center,important theaters were closed and an adult movie theater opened at the old Chandler Theater.",110,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""118"", ""version"": ""1"", ""text_len_nltk"": ""112""}"
pelic_674,spanish,pelic,"1) Today, Chavez is condidered one of the worst president of Venezuela.
2) Simon Bolivar is regarded as the most famous person in South America.
3)Fidel Castro is claimed to be the best friend of Chavez but there are some people who do not believe this.
4) In 1974,Venezuela was assumed to be a rich country because it had a lot of petroleum.
5)In 18th Century, venezuelan people were thought to be rich people.
6) Today, Chavez is believed to be an important person around the world.
7) Venezuelan people are said to be hard workers.
8)In 1992, Chavez was alleged to be a killer.",105,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""154"", ""version"": ""1"", ""text_len_nltk"": ""99""}"
pelic_999,spanish,pelic,"About one year ago, I made a big decision. I got married and I came to the United States because my husband was working here. In my country I used to have three jobs and my salary was really good but here I can not work and i can not save money, if I hadn't quit my jobs in Venezuela, I would have saved money and my financial situation could be better also if I were in Venezuela, I would be a rich person.Another thing is that I want to have a baby soon but I live here and I do not have any relatives to help me with the baby and for this reason I can not have baby for this moment.If I go back to my country in December, I will have a beby soon and it is the most important thing for me in this moment.",149,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""154"", ""version"": ""1"", ""text_len_nltk"": ""152""}"
pelic_1000,spanish,pelic,"Very dificult to say which sport is the most popular in the Unites States. Most people watch baseball game than any another sport; but it is because there are so many professional baseball game (each team plays 162 games per year).The average attendance figures for professional football is higher; however,there are not so many games(only 16 for each team per year).Basketball also is popular, especially in big cities. In adition, there are several other sports that have millions of fans; these include ice hockey,soccer, golf and tennis but these is no a single sport that dominate whole country.",98,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""118"", ""version"": ""1"", ""text_len_nltk"": ""101""}"
pelic_1145,spanish,pelic,"Limiting students' time on-line in school's computer labs isn't a reasonable policy for the development and learning of them. Nowadays, computers and internet are two of the most important and necessary tools in students life. They use computers for different purposes such as: to do homework and assignments, to search different kind of the information, to communicate with their families, friends and to study for exams. For this reason the policy in which schools are limiting students' time on-line in their computer labs isn't a reasonable rule because they need this tool everyday and is school's responsibility to provide it. However, if schools know that students don't use the computers and internet for only study, they can limit some computer programs, websites or chats, for example, Messenger of Hotmail. Chat of Yahoo, Skype, or entertainment websites. In summary, schools mustn't limit the time that students use the computers; instead, they can limit the access to some websites or computer programs.",160,B1+/B2,1.0,"{""anon_id"": ""gq4"", ""gender"": ""Female"", ""level_id"": ""4"", ""course_id"": ""114"", ""version"": ""1"", ""text_len_nltk"": ""168""}"
pelic_1172,spanish,pelic,"The best fun time that I had in the past was the last year when with my friends, who studied with me in the University, traveled to San Andres Island, an Island where you can have nice vacations. I remember that we were very happy. During the mornings we went to the beach, which was very beautiful and in the nights we went to the Night Club where we danced all the night. In addition, we bought much stuff because in San Andres Island, that is a free port, the commerce is very cheap. Finally, after five wonderful days, we returned to Bogotá. I'll never forget this trip, which was the funniest trip in my life, in a spectacular place, with my best friends of the University.",127,B1+/B2,1.0,"{""anon_id"": ""gq4"", ""gender"": ""Female"", ""level_id"": ""4"", ""course_id"": ""150"", ""version"": ""1"", ""text_len_nltk"": ""128""}"
pelic_1184,spanish,pelic,"In each country in the world, the most important thing should be the education.Education,is really important because people can do many things such as have a career, get a job and earn money.To illustrate,in many rich countries like the United States, Japan and England,many people can go to school,then they can go a college and finally they can get an excellent job and they can be a succesful person in their life.In adition,in my country (Venezuela), people are always worried about get a good education since the people are children and for this reason people search a good school and college to obtain an excellent education and when the people finish their education, Venezuelan people want to work for our country because we wish that Venezuela were a rich country; we have a rich natural resource like petroleum ;However, we think that without education any country could be a poor country.",151,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""118"", ""version"": ""1"", ""text_len_nltk"": ""159""}"
